2008
15,Septiembre,lector129,Las últimas travesías,Noa Paz,Ciencia ficción,14,No
17,Julio,lector080,Los frágiles mercados de las canciones,Irene Ferreyra,Romance,37,No
07,Diciembre,lector129,La llave en los bosques,Irene Gómez,Fantasía,37,No
07,Diciembre,lector045,El infinito río,Julia Navarro,Fantasía,90,No
11,Abril,lector129,El mercado sobre catedrales,Hugo Soria,Biografía,21,No
24,Noviembre,lector054,La llave en los bosques,Irene Gómez,Fantasía,22,No
06,Marzo,lector066,La incierta catedral del laberinto,Marta Rosales,Novela histórica,28,No
04,Noviembre,lector128,Los dorados mercados del laberinto,Samuel Torres,Realismo mágico,20,No
09,Febrero,lector097,Las llaves tras ruinas,Vega Soria,Misterio,41,No
25,Abril,lector066,Las inciertas ruinas,Mario León,Ciencia ficción,27,No
05,Septiembre,lector080,Las brumas tras laberintos,Valentina Santos,Novela histórica,18,No
05,Octubre,lector150,Los cerrojos en pacto,Andrés Mendoza,Realismo mágico,23,No
17,Junio,lector101,La catacumba lejana,Pablo Ibarra,Thriller,100,No
26,Enero,lector124,Los faros de inviernos,Marta Rosales,Romance,25,No
22,Julio,lector095,Los carnavales sobre retratos,Candela Delgado,No ficción literaria,56,No
30,Enero,lector024,La salvaje ruina sobre los espejos,Adrián Muñoz,Thriller,37,No
20,Diciembre,lector123,El sueño bajo las ciénegas,Clara Soria,Distopía,24,No
30,Mayo,lector087,El férreo invierno tras los santuarios,Mario Pineda,Romance,15,No
19,Octubre,lector061,Las travesías sobre la bruma,Andrés Vega,Juvenil,13,No
14,Noviembre,lector134,Los faros sobre el reloj,Noa Mendoza,Autoficción,21,No
24,Noviembre,lector078,Las campanas del retrato,Elena Campos,Romance,23,No
10,Julio,lector095,El océano bajo faro,Noa Paz,Thriller,12,No
01,Septiembre,lector068,La lúcida belladona,Iker Valdés,Poesía,6,No
28,Agosto,lector106,Los códices sobre el jardín,Emma Álvarez,Autoficción,11,No
22,Agosto,lector146,Los santuarios bajo río,Ariadna Serrano,Ciencia ficción,25,No
05,Septiembre,lector097,El pacto de mercado,Tomás Araujo,Romance,42,No
29,Diciembre,lector079,El espejo eterno,Noa Paz,Autoficción,27,No
30,Agosto,lector004,El laberinto de viajes,Raúl Montoya,Policiaca,49,No
01,Junio,lector094,El santuario bajo la fortaleza,Clara Roldán,Teatro,56,No
21,Mayo,lector007,El santuario incierto,Ariadna Acosta,Realismo mágico,27,No
23,Agosto,lector019,Los dorados puentes del puente,Nicolás Miranda,Realismo mágico,6,No
26,Marzo,lector061,La perdida ciudad en la catacumba,Mateo Fuentes,Teatro,20,No
09,Octubre,lector042,El carnaval del códice,Julia Ferreyra,Realismo mágico,6,No
25,Junio,lector093,Las férreas catedrales,Inés Serrano,Crónica,35,No
06,Diciembre,lector076,El viaje tras travesías,Pablo Pineda,Cuento,7,No
05,Abril,lector074,La cartas de los océanos,Hugo Nogueira,Crónica,56,No
01,Julio,lector113,La canción bajo el páramo,Julián Salas,Realismo mágico,28,No
18,Junio,lector020,La férrea ruina bajo la bruma,Mario León,Thriller,13,No
22,Febrero,lector112,El invierno bajo el faro,Samuel Suárez,No ficción literaria,21,No
04,Enero,lector026,El férreo puente,Andrés Vega,Distopía,2,No
23,Marzo,lector137,El reloj lejano,Andrés Mendoza,Juvenil,22,No
15,Mayo,lector091,El laberinto de las fortalezas,Irene Carranza,Aventura,21,No
14,Julio,lector111,Los infinitos mercados,Pablo Carranza,Distopía,100,No
18,Diciembre,lector011,Los carnavales perdidos,Julián Delgado,Autoficción,56,No
16,Marzo,lector045,El río frágil,Inés Rojas,Ciencia ficción,16,No
21,Agosto,lector045,La férrea catedral,Renata Acosta,Cuento,22,No
06,Mayo,lector119,Las memorias de la travesía,Thiago Roldán,Ensayo,20,No
04,Noviembre,lector077,El astrolabio en el bosque,Sara Calderón,Ensayo,20,No
27,Septiembre,lector026,La fortaleza tras los espejos,Mario Bautista,No ficción literaria,27,No
14,Febrero,lector136,La bruma bajo bruma,Oliver Ibarra,Terror,21,No
15,Abril,lector124,Los viajes últimos,Luna Araujo,Crónica,19,No
24,Julio,lector078,Los secretos espejos,Nicolás Miranda,Teatro,35,No
29,Febrero,lector114,Las sombrías brumas sobre el océano,Marta Rosales,Terror,38,No
22,Septiembre,lector057,El eterno santuario,Julián Nogueira,Policiaca,30,No
22,Octubre,lector057,El eterno santuario,Julián Nogueira,Policiaca,20,Si
