2016
31,Julio,lector025,Los mercados tras fortaleza,Vega Soria,Novela histórica,3,No
01,Abril,lector089,El lejano carnaval tras el páramo,Ariadna Acosta,Ensayo,28,No
02,Junio,lector108,El frágil sueño,Ximena Caballero,Aventura,26,No
17,Junio,lector106,El infinito cerrojo tras los jardines,Inés Serrano,Teatro,33,No
07,Enero,lector078,Los brillantes retratos,Raúl Montoya,Ciencia ficción,23,No
27,Noviembre,lector036,Los olvidados sueños tras los carnavales,Pablo Carranza,Juvenil,22,No
25,Julio,lector134,Los lúcidos archivos del cometa,Julia Ferreyra,Distopía,10,No
26,Agosto,lector084,El cerrojo de catacumba,Elena Rojas,Policiaca,37,No
22,Julio,lector133,El mercado en relojes,Elena Rojas,No ficción literaria,36,No
22,Mayo,lector077,La olvidada campana,Alba Caballero,Fantasía,5,No
02,Agosto,lector141,El infinito retrato,Samuel Torres,Poesía,19,No
28,Octubre,lector057,El incierto jardín bajo el jardín,Samuel Suárez,Teatro,9,No
15,Abril,lector059,El cometa eterno,Daniela Calderón,Policiaca,5,No
08,Febrero,lector074,Los mercados tras fortaleza,Vega Soria,Novela histórica,21,No
06,Diciembre,lector137,Los infinitos océanos,Tomás Flores,Misterio,26,No
04,Octubre,lector090,Las llaves tras ruinas,Vega Soria,Misterio,30,No
03,Noviembre,lector090,Las llaves tras ruinas,Vega Soria,Misterio,51,Si
27,Julio,lector110,Los helados carnavales en los inviernos,Candela Peña,Ensayo,10,No
27,Noviembre,lector137,Los laberintos tras baluartes,Irene Ferreyra,Juvenil,27,No
25,Julio,lector141,La perdida ciénega bajo las sombras,Mateo Martí,Cuento,18,No
09,Diciembre,lector073,Las últimas llaves,Noa Benítez,Romance,24,No
02,Junio,lector146,Los cerrojos tras reloj,Rafael Herrera,Crónica,28,No
28,Febrero,lector027,El cometa de llave,Tomás Araujo,Thriller,23,No
03,Julio,lector021,El errante cometa sobre las brumas,Clara Roldán,Poesía,7,No
07,Marzo,lector016,El laberinto de viajes,Raúl Montoya,Policiaca,28,No
23,Febrero,lector076,Los sueños tras los inviernos,Paula Romero,Policiaca,43,No
12,Julio,lector021,Los ríos bajo fortaleza,Irene López,Aventura,30,No
